		Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date
358	920-011311																			-39	-39					
1531	910-005280	37	0	74	74			148	74	259	259	296	370	111		444	259	481	370	296	37	185	259	222	333	37
1531	910-005289							50	100	50	50	50	149	86	36	-36				72	36		-36			108
1531	910-005469	117	390	156	195	117	390	117	156	156	351	234	273	234	156	117	156	117	312	156	429	507	117	78	312	78
1531	910-005565	324	216	108	216	216	324	216	0	324	216	216	216	324	216	216	432	108	108	216		648	-216		108	191
1531	910-005790	58	230	29	86	29	115	29	86	29	58	115	29	144	86	173	86	86	230	202	202	403	115	86	86	
1531	910-005791																	-11		58		0	29	29	87	58
1531	910-005792																									
1531	910-006012																									
1531	910-006160							231	0	116		231	231		116	116	0	0	231	116	116	116	347	116	116	116
1531	910-006169						116	116	116	347	231	0	347	116		462	347	116	231	347	347	0	462		231	
1531	910-006628																			116	116	231	693	0	578	578
1531	910-006636																		116	116	347	347	0		116	231
1531	910-006795																			347	231	693		-116	462	231
1531	920-004536	335	379	268	379	89	112	156	268	156	89	112	179	242	151	259	216	216	173	259	346	346	346	368	476	303
1531	920-008219	354	212	283	495	142	495	495	283	212	354	71	142		282	417	208	139	556	139	278	625	278	347	486	139
1531	920-008671	154	270	309	309	0	154	0	232	193	232	116	232	154	116	463	232	386	618	309	502	270	116	270	348	425
1531	920-009437	504	78	349	427	427	349	272	504	233	272	233	116	272	348	386	309	425	695	386	270	425	193	270	232	386
1531	920-009443		78	39	155	116	194	116	194	-39	78	78	116	78	116	116	116	116	116	193	39	425	39	309	347	193
1531	920-011311															116	78		0	39	78	78	78	39	116	78
350	910-005280		74		37				0	407	148	222			37	37	185	185	148	148	148	259	0		296	111
350	910-005289						-50	100		100	199	50			36	-36		36	36	72			36		72	
350	910-005469	195	195	117	351	273	234	273	117	546	39	78	234	117	234	156	117	117	156	78	195	780	234	39	312	117
350	910-005565	108	108		540	-216	108			216	216	216	540	216		216	757	432	0	216	648	757	108	216	432	181
350	910-005790	29	29		29	58	86		29	173	58	29	29		29	173	29	115	58	58		115			29	58
350	910-005791																				58		29		58	
350	910-006020																38	38								
350	910-006160							231	231	462	231		462	347	347	347	462	116	231		0		116	347	462	116
350	910-006169						116	231	116		0	347	0	347	231	116	116	462	231	116	347	693		116		231
350	910-006628																			347	116	231	-116	116	-116	347
350	910-006636																		116	116	-116	231	231			
350	910-006795																				231	231	347	231		231
350	920-004536	268	156	156	112	246	268	134	536	134	179	89	201	243	259	151	108	130	151	65	238	130	43	195	195	108
350	920-008219	566	283	283	354	425	283	354	425	354	283	425	283	212	280	417	139	417	208	417	139	347	278	139	278	278
350	920-008671	348	270	193	425	463	463	348	309	116	463	232	463	270	154	232	348	463	463	309	541	502	348	270	463	386
350	920-009437	155	116	78	78	155	233	155	78	272	0	78	78	116	193	193	232	193	193	193	193	347	232	579	347	77
350	920-009443	78		39	194	78	194	39	155	39	116	155	78	78	39	116	77	77	193	193	77	154	39	77	309	
350	920-011311															0			39	0	0	78	78	39	116	
190	910-005280	-37			0		-37		-37	148	37	37	259	37	148	74	111	222	74	37	111	777			296	148
190	910-005289			50				100	149	299	149	100				36	-36		36		36		72			
190	910-005469	234	312	195	234	390	156	117	117	468	195	234	78	0	78	156	156	156	78	117	429	858	117	156	195	-39
190	910-005565	216	108		216	324	-108	-108	324	1,081	324	108	648	108	216		432	108	648	-108	648	648		324	216	94
190	910-005790	29	58	173	0	29	86	29	202	202	86	115		29		86	115	29	115	115	144	230	-29		173	29
190	910-005791								-40												87	29		29		
190	910-005792																									
190	910-005851																						30			
190	910-006012																					-38				
190	910-006020	-38																								
190	910-006160						347	231	231	116	116		116	231	231	347	116	462		116	231	347	347	116	116	578
190	910-006169						231	116	462	231	116	116	-116	231		0	116	116	116		462	578	347		116	116
190	910-006376						-38																			
190	910-006628																		231	231	116	347	116	347	462	462
190	910-006636																		-116	347	116	578	116		347	-116
190	910-006795																					231	462	347	116	
190	920-004536	179	201	201	179	112	67	89	112	335	290	112	89	89	86	151	65	216	108	86	130	108	86	86	108	173
190	920-008219	283	71	142	283	708	71	495	212	354	354	212	495	212	281	417	278	278	139	139	417	556	139	69	695	347
190	920-008671	232	154	39	116	77	463	579	154	232	232	77	154	77	425	193	386	193	232	309	232	193	386	270	541	348
190	920-009437	310	349	272	233	155	155	116	233	194	78	155	39	78	155	193	154	232	309	77	232	193	116	309	193	39
190	920-009443	116	78	39	155	39	78	78	39	155		155	155	78	77	116	77	39	77	116	116	39	-77	77		77
190	920-011311																39		39	39	78	78	116	39	116	116
1499	910-005280					-37		37	74	333	148	148	185	74		37	148	259	37	74	37	518	37		222	148
1499	910-005289	-50						100	149	50	50	100	50	50							36		36		72	72
1499	910-005469	234	117	156	390	117	234	78	117	429	312	117	312	156	234	156	156	39	156	117	507	663	429	156	195	0
1499	910-005565	324	0		324	216	432		216	540	108	757	432	324	108	324	216	540	324	216	108	757	-108	540	108	304
1499	910-005790	58		29	58	86	29		29	115	115		86	115	86	144	58	86	115	144	230	346	58		86	86
1499	910-005791																				58		29	29	29	87
1499	910-006020							-38																		
1499	910-006160						116		347	347	0		116				116	116	-116		693	578	-116	347	116	
1499	910-006169							347	462	578	116		116	116							116	231	231		231	
1499	910-006628																			116	116	693	347		116	116
1499	910-006636																		-116	116	116	231	347	116	231	116
1499	910-006795																			0	116		116	231	231	462
1499	920-004536	67	22	268	112	134	201	89	134	112	112	89	156	66	43	281	195	324	324	130	86	22	259	130	195	130
1499	920-008219	637	495	637	495	495	495	566	0	283	566	495	637	708	352	764	208	486	625	139	486	486	625	764	417	486
1499	920-008671	386	77	154	77	154	425	463	386	541	232	116	270	386	270	154	232	270	386	193	154	309	116	348	232	425
1499	920-009437	78	116	39	78		155	116	39	194	116	116	39		116	116	193	77	193	154	116	232	193	116	77	116
1499	920-009443	39	39	0	39											39	77	116	116	0		116		77	154	193
462	910-005280		74	74	37			74	185	148	185					37	111	111	0	74	259	666	185		370	185
462	910-005289				50			100	100	0	50	0	50		72	36	0	72	-36					36		0
462	910-005469	156	156	39	156	156	156	234	273	273	117	117	156	78	234	78	0	78	39		156	663	156	195	351	273
462	910-005565	216	-108		-108	108	108	-216	0	0	108	216	-108	0	324	108		0	216		865	432	216	324	432	358
462	910-005790	29			29		29		115	202	115			58	144	86	86	29		115	202	317	-29	29	115	58
462	910-005791																			29	58	29		29	29	29
462	910-005851																									
462	910-006020																		-38	-38						
462	910-006160						116	116		116	347	-116	116	116	347	347	0	231			116	347	116	231	231	231
462	910-006169							116	231	116	231		116	231	116	231	116		231		116	231	116	116		116
462	910-006628																			231		231	347	116	462	231
462	910-006636																		116	116		462	347	116	231	0
462	910-006795																				116	116	231	116	-116	
462	920-004536	89	379	112	223	223	134	223	201	246	201	156	268	88		173	216	108	151	151	238	368	238	86	65	281
462	920-008219	283	283	425	212	495	566	142	425	283	283	425	637	71	491	486	208	625	278	139	278	556	556	417	556	347
462	920-008671	463	116	386	386	193	154	232	309	656	309	116	232	154	386	154	386	425	309	232	270	232	425	309	386	77
462	920-009437	116	233	155	116	155	233	233	388	543	78	233		388	77	347	347	502	463	154	232	386	193	193	193	77
462	920-009443	39	234	78	194	194	78	194	39	39		194	116	155		270	116	232	0	0	116	154	347	39	309	193
462	920-011311															39				78	78	116	39	155	116	
1470	910-005280		74	37	37	37			148	518	74	185	222	111		222	111	148	74	37	222	481			259	296
1470	910-005289						50			149	50	100	50	50	72	36				72	36		72		144	36
1470	910-005469	351	39	117	390	390	312	351	351	741	156	78	390	273	429	117	78	234	156	156	351	936	351	156	390	78
1470	910-005565	324			-216	324	0		108	540	-108	216	540	216		324	216	108	108	324	432	648	-108	324	324	265
1470	910-005790	29	58	86		58	29	29	115	230	58	58	86	29	58	86	58	144	115	144	115	288	0	29	202	29
1470	910-005791																				58		29	58	116	
1470	910-005851																									
1470	910-006160						116	347	116	462	578	116	462				231	116		116	231	578	347	0	462	231
1470	910-006169						116	231	347	809		116	116	347	116	462	116			-116	347	231	462	116	116	347
1470	910-006628																				116			116	-116	
1470	910-006636																			0	0					
1470	910-006795																									-116
1470	920-004536	223	246	201	112	89	134	89	268	223	156	134	357	221	151	368	173	303	303	43	238	130	195	411	324	151
1470	920-008219	495	283	354	142	283	212	283	212	142	212	283	354	212	139	278	0	208	-69	347	278	347	139	139	347	208
1470	920-008671	154	77	0	116	77	193	39	39	0	270	193	193	193	270	154	193	348		232	116	232	348	232	270	270
1470	920-009437	78	155	78	39		39		78	194	116	194	116	39	77	154	154	0	154	116	193	232	154	39	154	39
1470	920-009443		117	78						-39	-39			78	39	77	232	77	193	193	154	193	232	0	77	116
1470	920-011311																		-78							
557	910-005280		0	74				0	148	333	74	185	-37	74	37	74	111	333	111	74	37	407	37		296	185
557	910-005289						-50	100	100	50			50		108	0		108	36	36	36		72		36	36
557	910-005469	78	195		39	78	117		117	390	39	117	117	117	156	195	78	117	273	78	117	507	351	39	195	156
557	910-005565						108	0		324	216	108	0	108	216	108			-108	324	324	648		108	108	191
557	910-005790	58	115	29		29	29	29	144		86	29		29		29	115	86	144	202	86	173		29	86	29
557	910-005791																				29	29			58	87
557	910-005851																									
557	910-006020																	38								
557	910-006160						116	116		231	116	116	347	116	116	116	116	231	231			116	231	116	231	116
557	910-006169						116		116	462	116	116	116		116	116	116			116		116				116
557	910-006628																			347		462	231	231	116	116
557	910-006636																			116		231	231	347		347
557	910-006795																			347			0	116	347	231
557	920-004536	312	536	179	89	179	112	201	134	179	201	201	134	89	65	195	130	22	108	108	108	43	216	216	43	65
557	920-008219	425	425	142	71	142	142		71	212	212	212	283	212	420	208	486	208	208	486	139	347	208	695	417	486
557	920-008671	348	154	39	154	77	116	154	270	232	232	386	309	386	270	386	386	309	270	154	386	463	309	309	502	386
557	920-009437	466	272	155		39	155	39	155	233	39	194	78		39	154	154	77	232	116	77	39	154	232	232	116
557	920-009443		156	0	39			-39				39	0	78	193	193	39	116	154	116	77	154	232	154	232	77
1400	910-005280	37	74		37		111	185	111	74	259	111	74	74	37	148	185	148	259			185	296	74	407	37
1400	910-005289	100		100				50					50		36	72		36	36	72			36		36	36
1400	910-005469	195	156	156	195		156	39	39	273	195	78	117	234		156	156	195	351	117	312	663	273	78	273	39
1400	910-005565	108			216	216	108	108	-108	432	0	216	324	216	108	216		108	324	108	432	757		216	324	196
1400	910-005790	29	29	29			29		29	29	29	29		86	144	259	86	86	86	230	86	173		29	58	
1400	910-005792																									
1400	910-006160						-116	231		462	116		231	116	347	116	231		116		231	116	347	462	462	-116
1400	910-006169						116	116	231	231		347		116				-116				-116			116	116
1400	910-006628																				116		231	347	347	231
1400	910-006636																				116		116	116		116
1400	910-006795																			116	116	116	231		116	
1400	920-004536	179	201	156	22	134	156	134	89	201	89	134	134	111	43	151	108	195	151	86	195	173	43	173	43	65
1400	920-008219	142	142	71	212	71	71	71	71	71	212		212	71	210	69	139	139	208	139	69	139		139	69	-69
1400	920-008671	154	0	77	77	193	154	116	154	116	154	116	193	154	232	154	193	309	270	193	193	232	77	39	309	154
1400	920-009437		116	116	39	233	272	78	194	116	233	39	116	78	39	232	154	154	116	193		39	116	39	232	116
1400	920-009443	39	78	78	116	39	194	78	78	39	39	116	39	39	39	39	39	77	39	39	116	116		116	270	77
1400	920-011311															78				39		78	39	39	78	
660	910-005280	37						37	74	74	185	111	111		37	74	185	37	74		259	555	0		222	111
660	910-005289																			36		72	36			
660	910-005469	195	117	156	78	117	39	39	156	312	117	117	156	39	78	234	39	117	78	156	156	195	117	156	273	78
660	910-005565				108	432	108	108	216	108	0	216		0		324	216	108	0	216	216	108	108		108	83
660	910-005790	29		0	29		58		173	173	29	58	144	58	58	86	29	29	86	86	202	202	29	86	173	58
660	910-005791									-40										29	29	29		29	29	58
660	910-006020								-38																	
660	910-006160						116	231	116	-116	116		231	347	347	231	116	116			231			347	116	
660	910-006169								116	462	116	231				116		116	116	116		462	116	231	0	116
660	910-006628																			347		-116	231	116	347	347
660	910-006636																			116						
660	910-006795																			116	231	116	462	116	116	
660	920-004536	246	156	179	268	67	246	89	134	112	179	112	179	89	130	130	43	108	173	86	43	130	173	389	195	216
660	920-008219	142	212	283	142	142	142	354	71	142	142	212	142	-71	420	69		139	417	139	208	347	347	417	347	417
660	920-008671	309	270	116	386	193	154	39	232	425	232	193	348	116	232	270	154	154	270	39	193	425	154	193	386	425
660	920-009437	0	155	78	39		-39		78	39	39	116		39			77		39	39	116	193	0	77	193	193
660	920-009443					-39								39	39	116	77	-39								-39
660	920-011311																			39						
1768	910-005280	37			0				37	111	74	37	37		74	111		148	37	37	74	259		37	259	148
1768	910-005289						50	50	100		50		50	39	36											
1768	910-005469	117	78	39	117	39	195	117	78	195	156	39	117		39		78	39	78	78	39	351	234	195	156	39
1768	910-005565	108				108				108	216	108	216	108		0	216	216		108	108	324			324	0
1768	910-005790	86	58	29	58	58	58		58	144	58	29		58		58			86	58	86	144	58		58	
1768	910-005791	30		30	61		40																			
1768	910-005851			61	61			40																		
1768	910-006020			38							38				38	38			38							
1768	910-006160						116		231	116	116			116					116		231				231	
1768	910-006169						116	116	116			116		-116					116			116				231
1768	910-006628																			116	116	462		0	347	116
1768	910-006636																			116	116	0	116		116	116
1768	910-006795																				0	231		116	116	116
1768	920-004536	22	223	156	179	134	134	179	67	156	67	89	67	45	86	22	65	43	0	86	65	108	130	65	173	195
1768	920-008219		142	71	71	0	142	0	71	212	71	71	71		210	69	69	139	69			139	69	208	69	69
1768	920-008671	39	77	39	232	116	232	39	39	232	77	0	193	116	193	154	270	193		154	154	270	154	425	154	193
1768	920-009437	39		78	39	39	78	78	155	116	0	116	39	78	116	77	116	309	116	39	39	77	116		154	77
1768	920-009443	39	39	39	194	39				155	-39		-39	39	39	193		39	77	39	39	77	39	116	154	77
1768	920-011311																		0		116	155	39	194	233	39
